lianjia_addressinfo,gaode_addressinfo,longitude,latitude,unit_price
鹏兴花园一期 ,鹏兴花园1期,114.164488,22.565259,45740
天骄世家 ,天骄世家,113.890842,22.587832,52455
信义假日名城三期菁华园 ,菁华园(百鸽路),114.125719,22.594613,46700
万科金域蓝湾一期 ,万科金域蓝湾1期,114.02552,22.52313,73516
振业峦山谷 ,振业峦山谷,114.266279,22.686879,32375
中海怡美山庄 ,中海怡美山庄,114.186091,22.647459,38741
中信红树湾南区 ,中信红树湾2期,113.964819,22.525872,106900
今日家园 ,今日家园(东昌路),114.136134,22.581274,50898
中信红树湾北区 ,中信红树湾3期,113.965701,22.529292,118872
城市天地广场 ,城市天地广场,114.113225,22.537888,51394
东部翠海轩 ,东部翠海轩,114.242647,22.562582,42351
雅涛花园 ,雅涛花园,113.871521,22.566124,42640
信义假日名城六期溢芳园 ,溢芳园,114.12319,22.59586,46531
长景阁 ,长景阁,114.048549,22.544087,44499
星桂园 ,星桂园,114.113865,22.545795,57819
南景豪庭 ,南景豪庭,114.140117,22.607848,40688
金城华庭 ,金城华庭,114.133663,22.549331,75181
紫光名苑 ,紫光名苑,114.067569,22.524167,54596
阳光带海滨城一期 ,阳光带海滨城1期,113.953296,22.525159,101764
桂芳园五期 ,佳兆业桂芳园5期,114.14167,22.61357,46000
菁英趣庭 ,菁英趣庭,113.888708,22.559862,63178
凯旋豪庭 ,凯旋豪庭,114.047092,22.54791,75132
帝港海湾豪园 ,帝港海湾豪园,114.05565,22.50914,55308
皇御苑一期 ,皇御苑1期,114.076609,22.527364,54397
雅豪祥苑 ,雅豪祥苑(龙河路),114.257339,22.723839,32379
碧湖花园 ,碧湖花园(龙潭路),114.24173,22.720444,41547
紫薇花园 ,紫薇花园(龙潭路),114.24052,22.71796,37038
京基东方都会 ,京基东方都会,114.142904,22.548238,50981
星河银湖谷 ,星河银湖谷(建设中),114.061488,22.60506,67092
星河华居 ,星河华居,114.070807,22.523709,56794
漾日湾畔 ,漾日湾畔,113.938634,22.519674,109730
帝港海湾豪园 ,帝港海湾豪园,114.05565,22.50914,54278
旭飞华达园 ,旭飞华达园,114.129501,22.572259,48841
海雅缤纷城 ,海雅缤纷城,113.906122,22.559663,60453
龙岗天健郡城 ,天健郡城西区,114.246454,22.728409,34030
英达钰龙园 ,英达钰龙园,113.920828,22.539354,63591
学林雅院 ,学林雅院,113.931219,22.524938,75135
桃源村三期 ,桃源村3期,113.985438,22.557326,54884
鹏兴花园五期 ,鹏兴花园5期,114.16905,22.558465,55649
公园大地五期 ,公园大地5期,114.236646,22.710421,58145
中信红树湾南区 ,中信红树湾2期,113.964819,22.525872,130129
中粮锦云 ,中粮锦云花园,113.88752,22.584066,62909
帝港海湾豪园 ,帝港海湾豪园,114.05565,22.50914,56276
旭飞华达园 ,旭飞华达园,114.129501,22.572259,48841
海雅缤纷城 ,海雅缤纷城,113.906122,22.559663,60453
三湘海尚花园 ,三湘海尚,113.942584,22.502665,137191
潜龙鑫茂花园C区 ,潜龙鑫茂花园C区,114.041827,22.609262,48248
恒大国香山 ,恒大国香山,114.163911,22.612824,44480
鼎太风华三期 ,鼎太风华3期,113.910135,22.519532,91943
艺丰花园A区 ,艺丰花园A区,114.065784,22.570205,47719
桂芳园八期 ,桂芳园8期,114.138953,22.608815,46644
英郡年华 ,英郡年华,114.149971,22.616613,48507
锦欣花园 ,锦欣花园,113.857087,22.578703,42843
中央悦城 ,中央悦城,114.24206,22.732298,35373
星河时代 ,星河时代,114.227132,22.692819,54824
南海玫瑰花园一期 ,南海玫瑰花园1期,113.921311,22.48311,91784
嘉葆润金座 ,嘉葆润金座,114.047756,22.523889,77164
百合星城一期 ,百合星城1期,114.121091,22.597876,39447
长丰苑 ,长丰苑,114.127211,22.541275,45226
翠竹苑 ,翠竹苑(东门北路),114.131501,22.559026,59181
锦绣江南四期 ,锦绣江南4期,114.031892,22.638192,43856
百仕达东郡 ,百仕达东郡(公交站),114.137955,22.568975,74830
西岸观邸 ,鸿荣源·西岸观邸,113.895404,22.55051,86472
丽湖花园二期 ,丽湖花园,114.107336,22.630122,35071
信义嘉御山 ,信义·嘉御山,114.058528,22.635734,60427
中海怡瑞山居 ,中海怡瑞山居,114.122922,22.619804,38678
阳光翠园 ,阳光翠园,114.141181,22.600635,31626
浪琴半岛 ,京武浪琴半岛,113.948971,22.5223,100598
龙城国际 ,龙城国际(白灰围一路),114.231882,22.72388,47616
香格丽苑 ,香格丽苑小区,114.012972,22.549631,106775
东方御花园 ,东方御花园,114.23553,22.726362,45931
红裙楼 ,红群楼小区,114.111703,22.547383,50869
美佳华首誉 ,芷峪澜湾花园,114.040969,22.693875,39231
东乐花园 ,东乐花园,114.140234,22.571725,34491
迷你新居福田 ,迷你新居,114.04605,22.562202,59524
鸿进花园 ,鸿进花园,114.242487,22.71043,31559
华茂苑 ,华茂苑,114.057891,22.563534,59540
碧海富通城三期 ,碧海富通城3期,113.85511,22.566576,79938
金色假日 ,金色假日,114.044519,22.546131,70731
懿花园 ,和记黄埔懿花园,114.063877,22.693063,63882
振业峦山谷 ,振业峦山谷,114.266279,22.686879,34684
嘉宝田花园 ,嘉宝田花园,114.111166,22.558018,65090
君成雍和园 ,君成·雍和园,113.886412,22.587405,59955
中海锦城 ,中海锦城,114.01423,22.637275,66085
万科公园里一期 ,万科公园里花园1期,114.156431,22.607677,46877
流塘阳光花园 ,流塘阳光,113.889657,22.581684,55711
金地上塘道一期 ,金地上塘道一期1栋,114.021326,22.633547,58507
大世纪花园 ,大世纪花园,114.126011,22.610479,40990
缇香名苑 ,缇香名苑,114.041295,22.544897,85965
东乐花园 ,东乐花园,114.140234,22.571725,40025
滨海之窗 ,滨海之窗,113.935519,22.520447,105406
英达钰龙园 ,英达钰龙园,113.920828,22.539354,77720
御庭园 ,御庭园(水围三街),114.065085,22.51938,58696
万科金域蓝湾三期 ,万科金域蓝湾3期,114.025571,22.523102,64672
皇御苑四期 ,深港1号,114.075406,22.524038,56569
中海康城国际一期 ,温氏生鲜(中海康城店),114.208973,22.709994,41578
万科金域蓝湾二期 ,万科金域蓝湾2期,114.025689,22.522983,74820
御庭园 ,御庭园(水围三街),114.065085,22.51938,62536
水木澜山居 ,水木澜山居,114.071382,22.571444,70994
国展苑一期 ,国展苑,114.118748,22.595281,36641
鸿景翠峰花园 ,鸿威·鸿景翠峰,114.189833,22.557207,60881
皇庭香格里花园 ,皇庭香格里花园,113.97978,22.561732,60517
熙和园 ,熙和园,114.23013,22.728147,53673
汇港名苑 ,汇港名苑,114.083716,22.530194,57539
丽湖花园二期 ,丽湖花园,114.107336,22.630122,32335
世外桃源二区 ,世外桃源(南门),113.860121,22.613821,42199
泰宁花园 ,泰宁花园,114.14084,22.565691,46249
十五峯花园 ,十五峯花园,113.98009,22.564234,84822
美丽湾国际公寓 ,美丽湾B座,113.921266,22.511224,72440
志健时代广场 ,志健时代广场,114.205187,22.647098,34395
和亨中心广场 ,和亨中心广场,114.251272,22.588412,35833
观海台 ,观海台,113.937552,22.514649,108485
海湾明珠 ,海湾明珠花园,113.860693,22.575073,52875
鹏城花园 ,鹏城花园,114.142194,22.58058,41826
布吉中心花园 ,布吉中心花园,114.130526,22.609,44453
富通天骏 ,富通天骏,114.022825,22.650684,45669
骏皇嘉园 ,骏皇嘉园(新洲九街),114.045264,22.524149,66024
前海花园 ,前海花园,113.912392,22.533825,66089
韵动家园 ,韵动家园,114.038275,22.526499,55759
新锦安雅园一期 ,新锦安雅园1期,113.90632,22.55068,54688
御庭园 ,御庭园(水围三街),114.065085,22.51938,59000
里仁府 ,里仁府,113.885987,22.564973,49920
信义嘉御山 ,信义·嘉御山,114.058528,22.635734,55703
百仕达花园二期 ,百仕达花园2期,114.133364,22.57312,57908
鸿隆广场 ,鸿隆广场,113.880716,22.581917,52653
朗晴馨洲 ,朗晴馨洲,114.045638,22.527457,54951
品尚居 ,品尚居,113.891712,22.573366,59853
万科公园里三期 ,万科公园里花园3期,114.158893,22.606883,45273
万科城四期 ,万科城4期,114.06773,22.646647,51690
中信领航 ,中信领航,113.856575,22.609777,55917
丽港湾 ,丽港湾,114.061341,22.510614,58859
中海大山地 ,中海大山地,114.177997,22.644926,40355
鹏兴花园一期 ,鹏兴花园1期,114.164488,22.565259,51092
花园城三期 ,花园城3期,113.922639,22.498573,87594
合正汇一城 ,合正汇一城,113.864176,22.575503,61772
麒麟花园 ,麒麟花园B区,113.928486,22.545187,91407
骏庭名园 ,骏庭名园,114.110006,22.547829,50044
万科四季花城六期 ,万科四季花城-六期别墅,114.056752,22.622352,49020
华茂苑 ,华茂苑,114.057891,22.563534,50904
侨城豪苑二期 ,侨城豪苑2期,113.96723,22.542441,61494
科技园三十六区 ,科技园北区,113.945863,22.542236,79818
阳光海景豪苑 ,阳光海景豪苑,113.933958,22.542449,52423
桃源居五区 ,桃源居5区,113.867741,22.615544,41223
招商澜园 ,招商澜园北区,114.047932,22.685616,47112
碧湖玫瑰园 ,碧湖玫瑰园,114.239458,22.721154,34452
碧海富通城三期 ,碧海富通城3期,113.85511,22.566576,73083
松茂御龙湾 ,松茂·御龙湾,113.853356,22.573996,65154
保利上城 ,保利上城(岗贝路),114.237425,22.705269,42426
皓月花园 ,皓月花园,114.044601,22.617463,49483
今日家园 ,今日家园(东昌路),114.136134,22.581274,62112
公园大地八期 ,公园大地,114.233629,22.710795,51817
天鹅堡 ,天鹅堡,113.979539,22.547659,86921
卓越城市中心花园 ,卓越城市中心花园,114.19382,22.647217,35178
鹏丽大厦 ,鹏丽大厦,114.086524,22.532923,51155
太阳新城 ,太阳新城,114.124197,22.575963,53484
和谐家园 ,和谐家园(布澜路),114.140533,22.619152,53852
雍翠华府 ,雍翠华府,114.122397,22.577951,52458
百合星城一期 ,百合星城1期,114.121091,22.597876,38344
帝涛豪园 ,帝涛豪园,114.058374,22.510126,60061
君逸华府 ,君逸华府,114.132899,22.57628,60074
云顶翠峰 ,云顶翠峰,114.060523,22.517581,67149
汇鑫花园 ,汇鑫花园,114.135713,22.54308,52336
玉湖湾 ,玉湖湾,113.848762,22.572542,67052
南岭花园 ,南岭花园,114.141536,22.602186,31557
金城华庭 ,金城华庭,114.133663,22.549331,67949
国展苑一期 ,国展苑,114.118748,22.595281,37000
劲力城市明珠 ,城市明珠花园,114.028474,22.665991,43750
振业峦山谷 ,振业峦山谷,114.266279,22.686879,30911
倚山花园三期 ,新世界倚山花园三期溱澜,114.238168,22.562314,50639
翠海花园一期 ,翠海花园,114.016061,22.551256,132507
雍翠华府 ,雍翠华府,114.122397,22.577951,51276
百花园二期 ,百花园2期,114.094707,22.55227,122313
汉森吉祥龙 ,吉祥龙花园,113.938968,22.497133,169956
翠榕花园 ,翠榕花园,114.174493,22.569239,45746
中海日辉台 ,中海·日辉台,114.068029,22.640741,45675
雅豪祥苑 ,雅豪祥苑(龙河路),114.257339,22.723839,32733
都市花园 ,都市花园(新沙路),114.048513,22.530659,57749
新锦安雅园三期 ,新锦安雅园3期,113.904208,22.549008,63497
仁恒峦山美地 ,仁恒峦山美地,114.269112,22.68986,41018
西城雅筑 ,鸿荣源·西城雅筑,113.877859,22.562483,77052
美丽家园 ,美丽家园,114.033007,22.658033,42797
福田花园大厦 ,福田花园大厦,114.047764,22.516918,45184
荣超花园 ,荣超花园,114.119249,22.59335,37348
城市主场 ,城市主场,114.095885,22.558001,81696
深业紫麟山花园 ,深业紫麟山(深圳),114.246257,22.736237,35711
懿花园 ,和记黄埔懿花园,114.063877,22.693063,60290
锦绣花园二期 ,锦绣花园二期停车场,113.995131,22.53576,81557
中海深圳湾畔花园 ,中海深圳湾畔花园,113.966844,22.540363,63894
钜建大厦 ,钜建大厦,113.929209,22.512034,54716
潜龙曼海宁花园北区 ,潜龙曼海宁花园北区,114.009142,22.640473,62794
莱蒙水榭春天三期 ,莱蒙水榭春天3期,114.024911,22.627694,74392
阳光棕榈园一期 ,中海阳光棕榈园1期,113.914633,22.533427,65237
星河时代 ,星河时代,114.227132,22.692819,54228
玉雅居 ,玉雅居,114.185603,22.556202,48029
佳兆业可园六期 ,佳兆业可园6期,114.134604,22.597722,46129
祥福雅居 ,祥福雅居,114.112427,22.565414,50413
合正瑞园 ,合正瑞园,114.102056,22.564347,57804
万科第五园七期 ,万科璞悦山幼儿园,114.075329,22.615189,58686
波托菲诺纯水岸四期 ,波托菲诺-纯水岸,113.975075,22.546255,153565
天鹅堡 ,天鹅堡,113.979539,22.547659,81844
福田花园大厦 ,福田花园大厦,114.047764,22.516918,46981
书香门第名苑 ,书香门第(民塘路),114.04534,22.597036,58721
京基御景东方 ,京基·御景东方,113.969492,22.531098,94011
龙珠花园 ,龙珠花园,114.1246,22.602495,35099
招商果岭花园 ,招商果岭,113.857716,22.58486,53574
向南瑞峰花园 ,向南瑞峰,113.925589,22.524309,65259
粤海花园 ,粤海花园,114.120903,22.542832,39369
招商果岭花园 ,招商果岭,113.857716,22.58486,54785
龙珠花园 ,龙珠花园,114.1246,22.602495,39570
黄埔雅苑四期 ,黄埔雅苑,114.050952,22.545514,92572
满京华喜悦里 ,满京华·喜悦里华庭,114.268814,22.720755,43134
中海康城国际一期 ,温氏生鲜(中海康城店),114.208973,22.709994,43581
富通蟠龙居 ,富通·蟠龙居,113.8694,22.575196,46241
如意家园 ,如意家园,113.922034,22.531533,62204
海景花园 ,海景花园,113.988336,22.536037,67068
星河盛世 ,星河盛世,114.046688,22.602673,60536
中海大山地 ,中海大山地,114.177997,22.644926,42664
新亚洲花园 ,新亚洲花园,114.236562,22.715508,37360
心怡花园 ,心怡花园(东晓路),114.138888,22.582419,49976
中海大山地 ,中海大山地,114.177997,22.644926,38143
创世纪滨海花园 ,创世纪滨海花园,113.930062,22.523986,71966
创世纪滨海花园 ,创世纪滨海花园,113.930062,22.523986,71966
碧海富通城一期 ,富通城1期,113.858569,22.564221,57239
中海怡翠山庄一期 ,中海怡翠山庄,114.111506,22.624153,41965
皓月花园 ,皓月花园,114.044601,22.617463,43839
海印长城 ,海印长城,113.9314,22.517415,83553
绿景花园二期 ,深圳绿景花园2期,114.043014,22.521812,64805
百花公寓一期 ,百花公寓(百花三路),114.092379,22.553512,107290
中信红树湾南区 ,中信红树湾2期,113.964819,22.525872,124735
财富港大厦 ,财富港,113.86785,22.56745,64088
益田村 ,益田村(公交站),114.052216,22.516085,66745
常兴广场 ,常兴时代广场,113.921829,22.533025,48679
嘉宾花园 ,嘉宾花园,114.112623,22.540351,44115
仓前锦福苑 ,仓前锦福苑,113.91947,22.527548,48647
花样年花港家园 ,花样年·花港,114.248393,22.591204,39776
丽湖花园二期 ,丽湖花园,114.107336,22.630122,29849
茂业城 ,茂业城,114.133928,22.611292,34368
碧海名园 ,宝安·碧海名园,113.86501,22.581785,49969
东方明珠城 ,东方·明珠城,114.254063,22.718902,38302
森雅谷润筑园 ,森雅谷,114.228074,22.676384,36466
THETOWN乐城 ,乐城(坳牌路),114.224351,22.675946,46644
国展苑一期 ,国展苑,114.118748,22.595281,34200
振业城 ,振业城,114.179393,22.639223,40848
圣莫丽斯花园C区 ,广东省深圳市龙华区圣莫丽斯花园,114.028793,22.600742,120293
风临域 ,风临域,114.24331,22.711332,44109
深业紫麟山花园 ,深业紫麟山(深圳),114.246257,22.736237,47448
天鹅堡 ,天鹅堡,113.979539,22.547659,93519
联城美园 ,联城美园,114.128579,22.543493,53367
金地名津 ,渔农村金地名津,114.073594,22.516121,55866
红树别院 ,红树别院,113.957045,22.546956,107561
中南花园 ,中南花园(新乐路三巷),113.901752,22.550252,53426
万科红四期 ,万科.红4期,114.128861,22.598809,50876
国际村 ,国际村,114.072574,22.531906,59338
绿景大公馆 ,绿景大公馆,114.220686,22.696737,49950
汇金家园 ,汇金家园,113.9273,22.547946,68203
福园小区 ,福园新村(愉福路),114.235808,22.722538,34980
弘雅花园雅豪轩三期 ,弘雅花园三期雅豪轩停车场,113.893506,22.574939,46447
万科公园里三期 ,万科公园里花园3期,114.158893,22.606883,48304
阳光花园 ,阳光花园(长龙路),114.116423,22.61555,37060
育德佳园 ,育德佳园,113.933434,22.511045,79806
茵悦之生花园一期 ,茵悦之生1期,114.111338,22.628261,41329
翡翠公寓 ,翡翠公寓,114.124261,22.560871,57937
新一代国际公寓 ,新一代国际公寓,113.924754,22.505209,65307
书香门第上河坊 ,书香门第·上河坊(民塘路),114.047382,22.597723,54667
招商依山郡 ,招商·依山郡,114.220212,22.729761,36464
香缇雅苑 ,香缇雅苑,114.043274,22.642649,40157
铂金时代罗湖 ,罗湖(出口),114.091476,22.564628,44473
梅林一村八区 ,梅林一村8区49-53栋,114.037113,22.565568,68246
天健阳光华苑 ,天健阳光华苑,114.055766,22.525237,72255
波托菲诺纯水岸一期 ,波托菲诺纯水岸1期,113.977402,22.545213,85852
广兴源圣拿威 ,广兴源·圣拿威,113.867728,22.562723,63701
佳兆业上品雅园 ,佳兆业·上品雅园,114.082879,22.632855,62908
红树别院 ,红树别院,113.957045,22.546956,144151
潜龙鑫茂花园B区 ,潜龙·鑫茂花园B区,114.042684,22.611077,49956
益田村 ,益田村(公交站),114.052216,22.516085,61036
风和日丽 ,风和日丽,114.029904,22.640868,43141
柏丽花园 ,柏丽花园,114.126767,22.562724,58116
南光城市花园 ,南光城市花园,113.924014,22.519054,86531
海月花园二期 ,招商海月花园2期,113.936245,22.502074,82693
天健现代城 ,天健·现代城,114.220932,22.720151,46224
鸿翔花园 ,鸿翔花园(松园北街),114.106417,22.553892,70828
中信海滨花园 ,中信海滨花园(沙深路),114.229633,22.547624,30670
鸿翔花园 ,鸿翔花园(松园北街),114.106417,22.553892,70828
中加名园 ,中加名园,114.121888,22.592852,32564
大信花园 ,大信花园(中环路),114.021391,22.649079,40454
富通天骏 ,富通天骏,114.022825,22.650684,49073
南国丽园 ,南国丽园,114.030178,22.653792,49492
鼎太风华二期 ,鼎太风华2期,113.911759,22.520689,82713
中海怡美山庄 ,中海怡美山庄,114.186091,22.647459,41448
汇港名苑 ,汇港名苑,114.083716,22.530194,57441
百仕达花园一期 ,百仕达花园1期,114.1346,22.570469,64676
圣淘沙骏园 ,圣淘沙骏园,113.862467,22.574064,71903
紫光名苑 ,紫光名苑,114.067569,22.524167,54164
龙威花园二期 ,龙威花园2栋,114.123656,22.601502,38154
福民大厦 ,福民大厦,114.068884,22.522691,49770
碧海名园 ,宝安·碧海名园,113.86501,22.581785,53452
碧海富通城四期 ,碧海富通城4期,113.852843,22.567911,62922
碧海富通城四期 ,碧海富通城4期,113.852843,22.567911,61854
书香门第名苑 ,书香门第(民塘路),114.04534,22.597036,57620
春树里 ,春树里,113.933721,22.486814,78137
阳光花园 ,阳光花园(长龙路),114.116423,22.61555,35987
龙珠花园 ,龙珠花园,114.1246,22.602495,34346
雅仕荔景苑 ,雅仕荔景苑,113.926702,22.510845,66513
学府花园 ,学府花园,113.926234,22.525934,67932
花语岸 ,坤祥花语岸,114.115982,22.613525,42779
中兆花园 ,中兆花园,114.14453,22.6182,34809
海滨假日 ,海滨假日,114.273571,22.586946,50382
君逸华府 ,君逸华府,114.132899,22.57628,62426
荣超花园 ,荣超花园,114.119249,22.59335,36297
德福花园 ,德福花园,114.10606,22.595263,31681
梅林一村十二区 ,梅林一村12区,114.033786,22.566491,64686
雅仕荔景苑 ,雅仕荔景苑,113.926702,22.510845,66513
碧海富通城四期 ,碧海富通城4期,113.852843,22.567911,61854
丽湖花园三期 ,丽湖花园,114.107336,22.630122,36066
百合山庄 ,百合山庄,114.120223,22.595289,38874
金色年华家园 ,金色年华,114.17174,22.562137,57698
金成时代家园 ,金成时代家园,113.882576,22.562466,63683
宝瑞轩 ,宝瑞轩,114.060102,22.510095,62854
槟城西岸 ,槟城西岸,113.857636,22.570311,73013
国际名园 ,国际名园,114.123365,22.538724,44257
旭飞花园 ,旭飞花园,114.103343,22.558365,50257
新亚洲花园 ,新亚洲花园,114.236562,22.715508,37938
和兴苑 ,和兴花园和兴苑,114.229649,22.721678,38510
铁东小区 ,铁东小区,114.116839,22.562483,38589
万科天誉二期 ,万科天誉花园2期,114.245501,22.712873,53241
招商果岭花园 ,招商果岭,113.857716,22.58486,58230
嘉洲富苑 ,嘉洲富苑,114.045903,22.52626,70672
佳兆业水岸新都 ,佳兆业水岸新都1期,114.277723,22.749345,32204
汇金家园 ,汇金家园,113.9273,22.547946,65976
锦绣江南二期 ,锦绣江南2期,114.02908,22.636334,53413
金地名峰 ,金地名峰,114.261544,22.683353,38023
中爱花园 ,中爱花园,113.984534,22.560899,72136
港岛银座 ,港岛银座大厦,114.114599,22.545327,46286
星光之约 ,星光之约花园,114.061631,22.608171,44741
海印长城 ,海印长城,113.9314,22.517415,84501
佳兆业可园七期 ,佳兆业可园7期,114.135096,22.597826,42789
万象天成 ,万象天成,114.254368,22.723858,32100
尚水天成 ,尚水天成,114.106949,22.616966,57059
海语西湾 ,海语西湾,113.866003,22.55673,59395
现代城华庭 ,现代城华庭,113.924427,22.517259,62572
京基东方都会 ,京基东方都会,114.142904,22.548238,45541
招商果岭花园 ,招商果岭,113.857716,22.58486,55758
珑门 ,珑门名苑,114.028917,22.723134,41545
科苑学里 ,科苑学里,113.952572,22.549846,82027
梅林一村十区 ,梅林一村10区,114.036337,22.566802,83343
黄埔雅苑四期 ,黄埔雅苑,114.050952,22.545514,85219
雍翠华府 ,雍翠华府,114.122397,22.577951,53630
中海怡美山庄 ,中海怡美山庄,114.186091,22.647459,37310
金桃园大厦 ,金桃园大厦,113.917999,22.53199,50477
华美丽苑 ,华美丽苑,114.042647,22.63108,40125
京基滨河时代 ,京基滨河时代广场,114.026726,22.528182,82624
润华苑 ,润华苑,114.041925,22.567007,60607
嘉宝田花园 ,嘉宝田花园,114.111166,22.558018,60302
翠湖山庄 ,翠湖山庄(龙岗大道),114.202012,22.640703,27266
金洲花园 ,金洲花园,114.133998,22.58802,43248
豪峰园 ,豪峰园,114.022542,22.55359,88929
桃源居十二区 ,桃源居12区,113.864483,22.615224,40197
缤纷时代家园 ,缤纷时代家园,114.125493,22.551304,63770
白金假日公寓 ,白金假日公寓,113.868913,22.567533,61117
佳兆业可园五期 ,佳兆业可园5期,114.135127,22.599725,50801
龙华花半里花园 ,龙华·花半里,114.048103,22.673487,46612
万象天成 ,万象天成,114.254368,22.723858,37092
友谊大厦 ,友谊大厦,114.117291,22.53817,41633
潜龙曼海宁花园南区 ,潜龙曼海宁花园南区,114.009651,22.639125,63440
大信花园 ,大信花园(中环路),114.021391,22.649079,44658
皇御苑四期 ,深港1号,114.075406,22.524038,65612
南国丽园 ,南国丽园,114.030178,22.653792,49453
南天一花园 ,南天一花园(百花三路),114.093372,22.554407,86224
御景湾 ,御景湾,113.874319,22.562184,61264
中海怡美山庄 ,中海怡美山庄,114.186091,22.647459,42100
