Station_Title,Subway_Num,Operation,long,lat,x,y,Station1,Station2,Subway_Num2,Unit_Price
白石洲,1,1,113.967048,22.539604,0.29494382,0.33778626,白石洲地铁站,白石洲(地铁站),1号线(罗宝线),88274.8972
高新园,1,1,113.953842,22.540236,0.27247191,0.33778626,高新园地铁站,高新园(地铁站),1号线(罗宝线),85241.77083
深大,1,1,113.944173,22.538667,0.248595506,0.33778626,深大地铁站,深大(地铁站),1号线(罗宝线),82165.96936
桃园,1,1,113.924857,22.532357,0.224719101,0.33778626,桃园地铁站,桃园(地铁站),1号线(罗宝线),76199.41872
大新,1,1,113.915072,22.532232,0.202247191,0.33778626,大新地铁站,大新(地铁站),1号线(罗宝线),72402.12076
鲤鱼门,1,1,113.903079,22.532005,0.179775281,0.33778626,鲤鱼门地铁站,鲤鱼门(地铁站),1号线(罗宝线),68311.82911
前海湾,1,1,113.897932,22.537121,0.141853933,0.33778626,前海湾地铁站,前海湾(地铁站),1号线(罗宝线),66087.4964
新安,1,1,113.894625,22.547468,0.141853933,0.33778626,新安地铁站,新安(地铁站),1号线(罗宝线),65479.20984
宝安中心,1,1,113.887233,22.554575,0.141853933,0.414122137,宝安中心地铁站,宝安中心(地铁站),1号线(罗宝线),64175.25781
宝体,1,1,113.880641,22.560741,0.119382022,0.442748092,宝体地铁站,宝体(地铁站),1号线(罗宝线),61925.14359
坪洲,1,1,113.870711,22.568908,0.119382022,0.473282443,坪洲地铁站,坪洲(地铁站),1号线(罗宝线),60326.44048
西乡,1,1,113.863048,22.575149,0.119382022,0.501908397,西乡地铁站,西乡(地铁站),1号线(罗宝线),59656.05882
固戍,1,1,113.846792,22.601363,0.119382022,0.534351145,固戍地铁站,固戍(地铁站),1号线(罗宝线),58429.09249
后瑞,1,1,113.835449,22.628835,0.119382022,0.564885496,后瑞地铁站,后瑞(地铁站),1号线(罗宝线),59603.00787
机场东,1,1,113.822634,22.647001,0.119382022,0.603053435,机场东地铁站,机场东(地铁站),1号线(罗宝线),57113.23077
赤湾,2,1,113.897234,22.479067,0.068820225,0.08778626,赤湾地铁站,赤湾(地铁站),2号线(蛇口线),65822.22716
蛇口港,2,1,113.912331,22.476626,0.091292135,0.057251908,蛇口港地铁站,蛇口港(地铁站),2号线(蛇口线),71689.49149
海上世界,2,1,113.915111,22.485101,0.122191011,0.070610687,海上世界地铁站,海上世界(地铁站),2号线(蛇口线),72402.12076
水湾,2,1,113.919686,22.488389,0.141853933,0.097328244,水湾地铁站,水湾(地铁站),2号线(蛇口线),74135.0358
东角头,2,1,113.931149,22.486325,0.162921348,0.125954198,东角头地铁站,东角头(地铁站),2号线(蛇口线),77932.98267
湾厦,2,1,113.938604,22.493353,0.18258427,0.152671756,湾厦地铁站,湾厦(地铁站),2号线(蛇口线),80984.92308
海月,2,1,113.937715,22.500409,0.200842697,0.177480916,海月地铁站,海月(地铁站),2号线(蛇口线),81134.59398
登良,2,1,113.937602,22.509146,0.219101124,0.202290076,登良地铁站,登良(地铁站),2号线(蛇口线),81372.95178
后海,2,1,113.942498,22.518422,0.238764045,0.230916031,后海地铁站,后海(地铁站),2号线(蛇口线),82218.03412
科苑,2,1,113.946195,22.527019,0.255617978,0.29389313,科苑地铁站,科苑(地铁站),2号线(蛇口线),83036.04972
红树湾,2,1,113.968432,22.525142,0.282303371,0.29389313,红树湾地铁站,红树湾(地铁站),2号线(蛇口线),87386.64486
世界之窗,2,1,113.974216,22.5369,0.320224719,0.339694656,世界之窗地铁站,世界之窗(地铁站),2号线(蛇口线),86336.35437
侨城北,2,1,113.989148,22.543992,0.327247191,0.391221374,侨城北地铁站,侨城北(地铁站),2号线(蛇口线),83145.66316
深康,2,1,113.998846,22.546456,0.344101124,0.391221374,深康地铁站,深康(地铁站),2号线(蛇口线),74139.83105
安托山,2,1,114.006236,22.548785,0.375,0.391221374,安托山地铁站,安托山(地铁站),2号线(蛇口线),65007.54333
侨香,2,1,114.014378,22.549784,0.394662921,0.391221374,侨香地铁站,侨香(地铁站),2号线(蛇口线),62933.12794
香蜜,2,1,114.023851,22.552772,0.414325843,0.391221374,香蜜地铁站,香蜜(地铁站),2号线(蛇口线),62899.45191
香梅北,2,1,114.032716,22.55386,0.433988764,0.391221374,香梅北地铁站,香梅北(地铁站),2号线(蛇口线),61992.03323
景田,2,1,114.043343,22.553419,0.457865169,0.391221374,景田地铁站,景田(地铁站),2号线(蛇口线),61336.28647
莲花西,2,1,114.050034,22.546668,0.492977528,0.391221374,莲花西地铁站,莲花西(地铁站),2号线(蛇口线),60995.08579
福田,2,1,114.052879,22.540087,0.528089888,0.391221374,福田地铁站,福田(地铁站),2号线(蛇口线),61134.06791
市民中心,2,1,114.061192,22.541744,0.55758427,0.391221374,市民中心地铁站,市民中心(地铁站),2号线(蛇口线),61705.85926
岗厦北,2,1,114.06924,22.540937,0.598314607,0.391221374,岗厦北地铁站,岗厦北(地铁站),2号线(蛇口线),62815.75851
华强北,2,1,114.085413,22.544441,0.641853933,0.391221374,华强北地铁站,华强北(地铁站),2号线(蛇口线),59571.19444
燕南,2,1,114.092561,22.544541,0.683988764,0.391221374,燕南地铁站,燕南(地铁站),2号线(蛇口线),56160.73041
大剧院,2,1,114.107811,22.5418,0.723314607,0.391221374,大剧院地铁站,大剧院(地铁站),2号线(蛇口线),51748.37618
湖贝,2,1,114.125437,22.544287,0.786516854,0.391221374,湖贝地铁站,湖贝(地铁站),2号线(蛇口线),48327.37357
黄贝岭,2,1,114.136332,22.546095,0.831460674,0.391221374,黄贝岭地铁站,黄贝岭(地铁站),2号线(蛇口线),47997.05921
新秀,2,1,114.148765,22.547688,0.862359551,0.391221374,新秀地铁站,新秀(地铁站),2号线(蛇口线),49472.26667
益田,3,1,114.050987,22.516287,0.528089888,0.217557252,益田地铁站,益田(地铁站),3号线(龙岗线),61093.30769
石厦,3,1,114.053616,22.523708,0.528089888,0.27480916,石厦地铁站,石厦(地铁站),3号线(龙岗线),61082.87467
购物公园,3,1,114.054581,22.534655,0.528089888,0.33778626,购物公园地铁站,购物公园(地铁站),3号线(龙岗线),60839.94624
福田,3,1,114.052879,22.540087,0.528089888,0.393129771,福田地铁站,福田(地铁站),3号线(龙岗线),61134.06791
少年宫,3,1,114.06017,22.548627,0.55758427,0.452290076,少年宫地铁站,少年宫(地铁站),3号线(龙岗线),60959.90883
莲花村,3,1,114.067829,22.548646,0.599719101,0.452290076,莲花村地铁站,莲花村(地铁站),3号线(龙岗线),62805.44283
华新,3,1,114.086654,22.548981,0.641853933,0.452290076,华新地铁站,华新(地铁站),3号线(龙岗线),59772.22695
通新岭,3,1,114.096273,22.549126,0.683988764,0.452290076,通新岭地铁站,通新岭(地铁站),3号线(龙岗线),53505.58577
红岭,3,1,114.104584,22.54838,0.709269663,0.452290076,红岭地铁站,红岭(地铁站),3号线(龙岗线),51954.50207
老街,3,1,114.116939,22.544232,0.773876404,0.452290076,老街地铁站,老街(地铁站),3号线(龙岗线),50306.99841
晒布,3,1,114.122664,22.549238,0.773876404,0.477099237,晒布地铁站,晒布(地铁站),3号线(龙岗线),48645.23263
翠竹,3,1,114.129883,22.556188,0.773876404,0.501908397,翠竹地铁站,翠竹(地铁站),3号线(龙岗线),48092.88
田贝,3,1,114.130052,22.56728,0.773876404,0.532442748,田贝地铁站,田贝(地铁站),3号线(龙岗线),48092.88
水贝,3,1,114.124974,22.573988,0.773876404,0.572519084,水贝地铁站,水贝(地铁站),3号线(龙岗线),48381.71987
草埔,3,1,114.1165,22.584447,0.773876404,0.603053435,草埔地铁站,草埔(地铁站),3号线(龙岗线),50310.05071
布吉,3,1,114.121571,22.601765,0.773876404,0.639312977,布吉地铁站,布吉(地铁站),3号线(龙岗线),49154.26677
木棉湾,3,1,114.130293,22.606997,0.773876404,0.687022901,木棉湾地铁站,木棉湾(地铁站),3号线(龙岗线),48092.88
大芬,3,1,114.138364,22.614191,0.773876404,0.715648855,大芬地铁站,大芬(地铁站),3号线(龙岗线),48392.25806
丹竹头,3,1,114.148054,22.619752,0.773876404,0.744274809,丹竹头地铁站,丹竹头(地铁站),3号线(龙岗线),49447.0757
六约,3,1,114.180646,22.634322,0.790960452,0.77480916,六约地铁站,六约(地铁站),3号线(龙岗线),46214.05512
塘坑,3,1,114.192725,22.639179,0.801966292,0.791984733,塘坑地铁站,塘坑(地铁站),3号线(龙岗线),46087.33577
横岗,3,1,114.208994,22.648442,0.818820225,0.812977099,横岗地铁站,横岗(地铁站),3号线(龙岗线),45844.47984
永湖,3,1,114.218042,22.658995,0.832865169,0.833969466,永湖地铁站,永湖(地铁站),3号线(龙岗线),45149.01365
荷坳,3,1,114.22431,22.673079,0.848314607,0.854961832,荷坳地铁站,荷坳(地铁站),3号线(龙岗线),44374.57823
大运,3,1,114.228163,22.68572,0.863764045,0.875954198,大运地铁站,大运(地铁站),3号线(龙岗线),43803.51266
爱联,3,1,114.234423,22.697495,0.879213483,0.896946565,爱联地铁站,爱联(地铁站),3号线(龙岗线),43778.27077
吉祥,3,1,114.244318,22.709488,0.894662921,0.917938931,吉祥地铁站,吉祥(地铁站),3号线(龙岗线),43497.91026
龙城广场,3,1,114.254592,22.716915,0.91011236,0.938931298,龙城广场地铁站,龙城广场(地铁站),3号线(龙岗线),42552.34672
南联,3,1,114.265531,22.721967,0.928370787,0.958015267,南联地铁站,南联(地铁站),3号线(龙岗线),40098.9661
双龙,3,1,114.277422,22.728806,0.950842697,0.958015267,双龙地铁站,双龙(地铁站),3号线(龙岗线),38178.52041
清湖,4,1,114.036538,22.664085,0.60252809,0.805343511,清湖地铁站,清湖(地铁站),4号线(龙华线),61698.15861
龙华,4,1,114.022419,22.651629,0.587078652,0.784351145,龙华地铁站,龙华(地铁站),4号线(龙华线),62660.94038
龙胜,4,1,114.01201,22.644739,0.573033708,0.765267176,龙胜地铁站,龙胜(地铁站),4号线(龙华线),63595.39763
上塘,4,1,114.012808,22.637134,0.55758427,0.729007634,上塘地铁站,上塘(地铁站),4号线(龙华线),63580.13081
红山,4,1,114.023465,22.621886,0.55758427,0.687022901,红山地铁站,红山(地铁站),4号线(龙华线),62867.14545
深圳北站,4,1,114.030298,22.610496,0.55758427,0.639312977,深圳北站地铁站,深圳北站(地铁站),4号线(龙华线),62005.05629
白石龙,4,1,114.04249,22.601574,0.55758427,0.595419847,白石龙地铁站,白石龙(地铁站),4号线(龙华线),61579.44079
民乐,4,1,114.048809,22.594144,0.55758427,0.564885496,民乐地铁站,民乐(地铁站),4号线(龙华线),61054.29757
上梅林,4,1,114.05944,22.570462,0.55758427,0.534351145,上梅林地铁站,上梅林(地铁站),4号线(龙华线),60889.43948
莲花北,4,1,114.059402,22.560538,0.55758427,0.509541985,莲花北地铁站,莲花北(地铁站),4号线(龙华线),60889.43948
少年宫,4,1,114.06017,22.548627,0.55758427,0.452290076,少年宫地铁站,少年宫(地铁站),4号线(龙华线),60959.90883
市民中心,4,1,114.061192,22.541744,0.55758427,0.393129771,市民中心地铁站,市民中心(地铁站),4号线(龙华线),61705.85926
会展中心,4,1,114.061101,22.534769,0.55758427,0.33778626,会展中心地铁站,会展中心(地铁站),4号线(龙华线),61612.79315
福民,4,1,114.065915,22.523226,0.561797753,0.27480916,福民地铁站,福民(地铁站),4号线(龙华线),62657.23364
福田口岸,4,1,114.069273,22.515737,0.563202247,0.236641221,福田口岸地铁站,福田口岸(地铁站),4号线(龙华线),62725.62987
黄贝岭,5,1,114.136332,22.546095,0.831460674,0.393129771,黄贝岭地铁站,黄贝岭(地铁站),5号线(环中线),47997.05921
怡景,5,1,114.140115,22.555856,0.831460674,0.425572519,怡景地铁站,怡景(地铁站),5号线(环中线),48572.25699
太安,5,1,114.137119,22.573466,0.831460674,0.473282443,太安地铁站,太安(地铁站),5号线(环中线),48387.83249
布心,5,1,114.138045,22.580986,0.831460674,0.513358779,布心地铁站,布心(地铁站),5号线(环中线),48358.0017
百鸽笼,5,1,114.130331,22.595442,0.831460674,0.553435115,百鸽笼地铁站,百鸽笼(地铁站),5号线(环中线),48092.88
布吉,5,1,114.121571,22.601765,0.77247191,0.639312977,布吉地铁站,布吉(地铁站),5号线(环中线),49154.26677
长龙,5,1,114.113825,22.608053,0.745786517,0.639312977,长龙地铁站,长龙(地铁站),5号线(环中线),50698.5424
下水径,5,1,114.110662,22.614833,0.719101124,0.639312977,下水径地铁站,下水径(地铁站),5号线(环中线),51605.04417
上水径,5,1,114.105337,22.622046,0.693820225,0.639312977,上水径地铁站,上水径(地铁站),5号线(环中线),51684.61458
杨美,5,1,114.079975,22.626777,0.665730337,0.639312977,杨美地铁站,杨美(地铁站),5号线(环中线),62235.72949
坂田,5,1,114.070852,22.627483,0.639044944,0.639312977,坂田地铁站,坂田(地铁站),5号线(环中线),62658.36869
五和,5,1,114.060681,22.626833,0.613764045,0.639312977,五和地铁站,五和(地铁站),5号线(环中线),61251.88513
民治,5,1,114.04085,22.617545,0.585674157,0.639312977,民治地铁站,民治(地铁站),5号线(环中线),61735.32698
深圳北站,5,1,114.030298,22.610496,0.55758427,0.639312977,深圳北站地铁站,深圳北站(地铁站),5号线(环中线),62005.05629
长岭陂,5,1,114.010275,22.599395,0.519662921,0.639312977,长岭陂地铁站,长岭陂(地铁站),5号线(环中线),63487.74923
塘朗,5,1,113.999666,22.590097,0.488764045,0.639312977,塘朗地铁站,塘朗(地铁站),5号线(环中线),72868.25316
大学城,5,1,113.965307,22.581946,0.457865169,0.639312977,大学城地铁站,大学城(地铁站),5号线(环中线),89503.92558
西丽,5,1,113.954396,22.580677,0.405898876,0.639312977,西丽地铁站,西丽(地铁站),5号线(环中线),86392.1125
留仙洞,5,1,113.943543,22.580534,0.369382022,0.639312977,留仙洞地铁站,留仙洞(地铁站),5号线(环中线),82032.47568
兴东,5,1,113.919013,22.581822,0.33988764,0.639312977,兴东地铁站,兴东(地铁站),5号线(环中线),73986.01179
洪浪北,5,1,113.910585,22.574543,0.296348315,0.625954198,洪浪北地铁站,洪浪北(地铁站),5号线(环中线),71311.47325
灵芝,5,1,113.904158,22.568964,0.25,0.559160305,灵芝地铁站,灵芝(地铁站),5号线(环中线),68468.79536
翻身,5,1,113.893232,22.55969,0.196629213,0.488549618,翻身地铁站,翻身(地铁站),5号线(环中线),65068.97201
宝安中心,5,1,113.887233,22.554575,0.141853933,0.414122137,宝安中心地铁站,宝安中心(地铁站),5号线(环中线),64175.25781
宝华,5,1,113.88509,22.549635,0.103932584,0.36259542,宝华地铁站,宝华(地铁站),5号线(环中线),63445.92132
临海,5,1,113.889323,22.54416,0.110955056,0.339694656,临海地铁站,临海(地铁站),5号线(环中线),64311.84656
前海湾,5,1,113.897932,22.537121,0.141853933,0.33778626,前海湾地铁站,前海湾(地铁站),5号线(环中线),66087.4964
西丽湖,7,1,113.965648,22.593567,0.435393258,0.679389313,西丽湖地铁站,西丽湖(地铁站),7号线,89497.34272
西丽,7,1,113.954396,22.580677,0.407303371,0.639312977,西丽地铁站,西丽(地铁站),7号线,86392.1125
茶光,7,1,113.954311,22.574138,0.382022472,0.606870229,茶光地铁站,茶光(地铁站),7号线,86060.78086
珠光,7,1,113.960559,22.56827,0.373595506,0.564885496,珠光地铁站,珠光(地铁站),7号线,89069.01544
龙井,7,1,113.974687,22.56401,0.373595506,0.528625954,龙井地铁站,龙井(地铁站),7号线,86336.35437
桃源村,7,1,113.981962,22.5599,0.373595506,0.490458015,桃源村地铁站,桃源村(地铁站),7号线,84434.19704
深云,7,1,113.993727,22.556537,0.375,0.452290076,深云地铁站,深云(地铁站),7号线,80287.59535
安托山,7,1,114.006236,22.548785,0.375,0.393129771,安托山地铁站,安托山(地铁站),7号线,65007.54333
农林,7,1,114.018135,22.540411,0.431179775,0.351145038,农林地铁站,农林(地铁站),7号线,62650.79075
车公庙,7,1,114.02583,22.536247,0.460674157,0.339694656,车公庙地铁站,车公庙(地铁站),7号线,62675.22686
上沙,7,1,114.035504,22.524612,0.476123596,0.276717557,上沙地铁站,上沙(地铁站),7号线,61749.98769
沙尾,7,1,114.042579,22.520798,0.497191011,0.276717557,沙尾地铁站,沙尾(地铁站),7号线,61579.44079
石厦,7,1,114.053616,22.523708,0.528089888,0.27480916,石厦地铁站,石厦(地铁站),7号线,61082.87467
皇岗村,7,1,114.059823,22.523138,0.54494382,0.276717557,皇岗村地铁站,皇岗村(地铁站),7号线,60889.43948
福民,7,1,114.065915,22.523226,0.561797753,0.27480916,福民地铁站,福民(地铁站),7号线,62657.23364
皇岗口岸,7,1,114.073972,22.521799,0.60252809,0.238549618,皇岗口岸地铁站,皇岗口岸(地铁站),7号线,63136.44615
赤尾,7,1,114.083598,22.531374,0.641853933,0.267175573,赤尾地铁站,赤尾(地铁站),7号线,59664.03448
华强南,7,1,114.086825,22.537214,0.641853933,0.314885496,华强南地铁站,华强南(地铁站),7号线,59199.61593
华强北,7,1,114.085413,22.544441,0.641853933,0.393129771,华强北地铁站,华强北(地铁站),7号线,59571.19444
华新,7,1,114.086654,22.548981,0.641853933,0.452290076,华新地铁站,华新(地铁站),7号线,59772.22695
黄木岗,7,1,114.08728,22.555843,0.653089888,0.509541985,黄木岗地铁站,黄木岗(地铁站),7号线,58605.85082
八卦岭,7,1,114.095079,22.56194,0.683988764,0.534351145,八卦岭地铁站,八卦岭(地铁站),7号线,55017.04487
红岭北,7,1,114.104315,22.56203,0.709269663,0.534351145,红岭北地铁站,红岭北(地铁站),7号线,51949.03934
笋岗,7,1,114.111295,22.563406,0.733146067,0.534351145,笋岗地铁站,笋岗(地铁站),7号线,51370.86154
洪湖,7,1,114.122465,22.566056,0.751404494,0.534351145,洪湖地铁站,洪湖(地铁站),7号线,48705.84355
田贝,7,1,114.130052,22.56728,0.77247191,0.534351145,田贝地铁站,田贝(地铁站),7号线,48092.88
太安,7,1,114.137119,22.573466,0.831460674,0.473282443,太安地铁站,太安(地铁站),7号线,48387.83249
红树湾南,9,1,113.971433,22.523023,0.289325843,0.267175573,红树湾南地铁站,红树湾南(地铁站),9号线,86917.38785
深湾,9,1,113.97862,22.523078,0.345505618,0.265267176,深湾地铁站,深湾(地铁站),9号线,85678.50718
深圳湾公园,9,1,113.993114,22.521591,0.386235955,0.265267176,深圳湾公园地铁站,深圳湾公园(地铁站),9号线,81044.82381
下沙,9,1,114.024334,22.5289,0.43258427,0.265267176,下沙地铁站,下沙(地铁站),9号线,62724.62025
车公庙,9,1,114.02583,22.536247,0.459269663,0.339694656,车公庙地铁站,车公庙(地铁站),9号线,62675.22686
香梅,9,1,114.039683,22.545356,0.459269663,0.370229008,香梅地铁站,香梅(地铁站),9号线,61642.92572
景田,9,1,114.043343,22.553419,0.459269663,0.393129771,景田地铁站,景田(地铁站),9号线,61336.28647
梅景,9,1,114.037934,22.561028,0.459269663,0.494274809,梅景地铁站,梅景(地铁站),9号线,61831.97072
下梅林,9,1,114.041768,22.565672,0.485955056,0.534351145,下梅林地铁站,下梅林(地铁站),9号线,61643.88472
梅村,9,1,114.052423,22.568443,0.515449438,0.534351145,梅村地铁站,梅村(地铁站),9号线,61110.69854
上梅林,9,1,114.05944,22.570462,0.55758427,0.534351145,上梅林地铁站,上梅林(地铁站),9号线,60889.43948
孖岭,9,1,114.067778,22.568458,0.599719101,0.534351145,孖岭地铁站,孖岭(地铁站),9号线,62805.44283
银湖,9,1,114.089784,22.568344,0.654494382,0.59351145,银湖地铁站,银湖(地铁站),9号线,57157.13817
泥岗,9,1,114.097634,22.567804,0.698033708,0.59351145,泥岗地铁站,泥岗(地铁站),9号线,53132.02105
红岭北,9,1,114.104315,22.56203,0.707865169,0.534351145,红岭北地铁站,红岭北(地铁站),9号线,51949.03934
园岭,9,1,114.104497,22.556288,0.707865169,0.501908397,园岭地铁站,园岭(地铁站),9号线,52037.19959
红岭,9,1,114.104584,22.54838,0.709269663,0.452290076,红岭地铁站,红岭(地铁站),9号线,51954.50207
红岭南,9,1,114.104749,22.539943,0.707865169,0.358778626,红岭南地铁站,红岭南(地铁站),9号线,51626.76809
鹿丹村,9,1,114.108625,22.535708,0.716292135,0.291984733,鹿丹村地铁站,鹿丹村(地铁站),9号线,51545.95028
人民南,9,1,114.118154,22.535514,0.75,0.290076336,人民南地铁站,人民南(地铁站),9号线,50129.5313
向西村,9,1,114.125767,22.539792,0.810393258,0.309160305,向西村地铁站,向西村(地铁站),9号线,48350.8013
文锦,9,1,114.130962,22.542259,0.810393258,0.353053435,文锦地铁站,文锦(地铁站),9号线,48022.69293
福田,11,1,114.052879,22.540087,0.526685393,0.393129771,福田地铁站,福田(地铁站),11号线,61134.06791
车公庙,11,1,114.02583,22.536247,0.460674157,0.339694656,车公庙地铁站,车公庙(地铁站),11号线,62675.22686
红树湾南,11,1,113.971433,22.523023,0.289325843,0.278625954,红树湾南地铁站,红树湾南(地铁站),11号线,86917.38785
后海,11,1,113.942498,22.518422,0.240168539,0.230916031,后海地铁站,后海(地铁站),11号线,82218.03412
南山,11,1,113.923596,22.524022,0.175561798,0.291984733,南山地铁站,南山(地铁站),11号线,75781.49515
前海湾,11,1,113.897932,22.537121,0.140449438,0.33778626,前海湾地铁站,前海湾(地铁站),11号线,66087.4964
宝安,11,1,113.880396,22.55459,0.087078652,0.429389313,宝安地铁站,宝安(地铁站),11号线,61925.14359
碧海湾,11,1,113.856093,22.575073,0.085674157,0.519083969,碧海湾地铁站,碧海湾(地铁站),11号线,59145.53125
机场,11,1,113.813663,22.624026,0.087078652,0.616412214,机场地铁站,机场(地铁站),11号线,47196.5
机场北,11,1,113.798179,22.651128,0.113764045,0.658396947,机场北地铁站,机场北(地铁站),11号线,47196.5
福永,11,1,113.806076,22.673562,0.136235955,0.683206107,福永地铁站,福永(地铁站),11号线,47196.5
桥头,11,1,113.811001,22.688133,0.157303371,0.70610687,桥头地铁站,桥头(地铁站),11号线,47196.5
塘尾,11,1,113.817878,22.702075,0.183988764,0.75,塘尾地铁站,塘尾(地铁站),11号线,45684.8
马安山,11,1,113.817005,22.716998,0.183988764,0.791984733,马安山地铁站,马安山(地铁站),11号线,47196.5
沙井,11,1,113.824434,22.730849,0.183988764,0.835877863,沙井地铁站,沙井(地铁站),11号线,60430.56
后亭,11,1,113.826874,22.752625,0.183988764,0.879770992,后亭地铁站,后亭(地铁站),11号线,62369.77358
松岗,11,1,113.829609,22.772332,0.183988764,0.921755725,松岗地铁站,松岗(地铁站),11号线,61143.95652
碧头,11,1,113.819959,22.784486,0.183988764,0.965648855,碧头地铁站,碧头(地铁站),11号线,54406.77778
