"","MXSPD","Location"
"8148",11.1,"Adelaide"
"8149",11.1,"Adelaide"
"8150",11.1,"Adelaide"
"8151",18.1,"Adelaide"
"8152",15,"Adelaide"
"8153",16.9,"Adelaide"
"8154",16.9,"Adelaide"
"8155",19,"Adelaide"
"8156",21,"Adelaide"
"8157",21,"Adelaide"
"8158",14,"Adelaide"
"8159",14,"Adelaide"
"8160",30.9,"Adelaide"
"8161",23.9,"Adelaide"
"8162",15.9,"Adelaide"
"8163",18.1,"Adelaide"
"8164",8.9,"Adelaide"
"8165",8.9,"Adelaide"
"8166",12,"Adelaide"
"8167",11.1,"Adelaide"
"8168",8.9,"Adelaide"
"8169",9.9,"Adelaide"
"8170",8,"Adelaide"
"8171",7,"Adelaide"
"8172",8.9,"Adelaide"
"8173",8.9,"Adelaide"
"8174",13,"Adelaide"
"8175",13,"Adelaide"
"8176",11.1,"Adelaide"
"8177",8.9,"Adelaide"
"8178",8,"Adelaide"
"8179",12,"Adelaide"
"8180",8,"Adelaide"
"8181",13,"Adelaide"
"8182",11.1,"Adelaide"
"8183",11.1,"Adelaide"
"8184",14,"Adelaide"
"8185",19,"Adelaide"
"8186",12,"Adelaide"
"8187",13,"Adelaide"
"8188",15.9,"Adelaide"
"8189",9.9,"Adelaide"
"8190",9.9,"Adelaide"
"8191",9.9,"Adelaide"
"8192",8.9,"Adelaide"
"8193",12,"Adelaide"
"8194",14,"Adelaide"
"8195",16.9,"Adelaide"
"8196",14,"Adelaide"
"8197",7,"Adelaide"
"8198",8,"Adelaide"
"8199",7,"Adelaide"
"8200",9.9,"Adelaide"
"8201",11.1,"Adelaide"
"8202",11.1,"Adelaide"
"8203",8.9,"Adelaide"
"8204",9.9,"Adelaide"
"8205",14,"Adelaide"
"8206",15.9,"Adelaide"
"8207",15,"Adelaide"
"8208",8.9,"Adelaide"
"8209",8,"Adelaide"
"8210",8.9,"Adelaide"
"8211",19,"Adelaide"
"8212",11.1,"Adelaide"
"8213",16.9,"Adelaide"
"8214",19,"Adelaide"
"8215",18.1,"Adelaide"
"8216",23.9,"Adelaide"
"8217",12,"Adelaide"
"8218",8.9,"Adelaide"
"8219",14,"Adelaide"
"8220",13,"Adelaide"
"8221",12,"Adelaide"
"8222",14,"Adelaide"
"8223",15,"Adelaide"
"8224",22,"Adelaide"
"8225",21,"Adelaide"
"8226",12,"Adelaide"
"8227",13,"Adelaide"
"8228",13,"Adelaide"
"8229",19,"Adelaide"
"8230",15,"Adelaide"
"8231",19,"Adelaide"
"8232",19,"Adelaide"
"8233",15.9,"Adelaide"
"8234",12,"Adelaide"
"8235",15,"Adelaide"
"8236",16.9,"Adelaide"
"8237",8,"Adelaide"
"8238",11.1,"Adelaide"
"8239",11.1,"Adelaide"
"8240",9.9,"Adelaide"
"8241",12,"Adelaide"
"8242",15.9,"Adelaide"
"8243",21,"Adelaide"
"8244",19,"Adelaide"
"8245",16.9,"Adelaide"
"8246",13,"Adelaide"
"8247",11.1,"Adelaide"
"8248",18.1,"Adelaide"
"8249",11.1,"Adelaide"
"8250",8.9,"Adelaide"
"8251",11.1,"Adelaide"
"8252",8.9,"Adelaide"
"8253",13,"Adelaide"
"8254",22.9,"Adelaide"
"8255",16.9,"Adelaide"
"8256",9.9,"Adelaide"
"8257",8.9,"Adelaide"
"8258",15.9,"Adelaide"
"8259",18.1,"Adelaide"
"8260",8.9,"Adelaide"
"8261",22,"Adelaide"
"8262",28.9,"Adelaide"
"8263",15,"Adelaide"
"8264",15,"Adelaide"
"8265",15,"Adelaide"
"8266",19,"Adelaide"
"8267",15.9,"Adelaide"
"8268",9.9,"Adelaide"
"8269",13,"Adelaide"
"8270",13,"Adelaide"
"8271",9.9,"Adelaide"
"8272",12,"Adelaide"
"8273",9.9,"Adelaide"
"8274",11.1,"Adelaide"
"8275",13,"Adelaide"
"8276",11.1,"Adelaide"
"8277",13,"Adelaide"
"8278",16.9,"Adelaide"
"8279",19,"Adelaide"
"8280",19,"Adelaide"
"8281",11.1,"Adelaide"
"8282",16.9,"Adelaide"
"8283",18.1,"Adelaide"
"8284",16.9,"Adelaide"
"8285",21,"Adelaide"
"8286",20,"Adelaide"
"8287",13,"Adelaide"
"8288",18.1,"Adelaide"
"8289",20,"Adelaide"
"8290",16.9,"Adelaide"
"8291",15,"Adelaide"
"8292",9.9,"Adelaide"
"8293",12,"Adelaide"
"8294",16.9,"Adelaide"
"8295",16.9,"Adelaide"
"8296",19,"Adelaide"
"8297",16.9,"Adelaide"
"8298",20,"Adelaide"
"8299",22,"Adelaide"
"8300",30.9,"Adelaide"
"8301",25.1,"Adelaide"
"8302",14,"Adelaide"
"8303",15,"Adelaide"
"8304",13,"Adelaide"
"8305",11.1,"Adelaide"
"8306",15.9,"Adelaide"
"8307",14,"Adelaide"
"8308",19,"Adelaide"
"8309",13,"Adelaide"
"8310",18.1,"Adelaide"
"8311",25.1,"Adelaide"
"8312",20,"Adelaide"
"8313",13,"Adelaide"
"8314",18.1,"Adelaide"
"8315",20,"Adelaide"
"8316",15.9,"Adelaide"
"8317",15,"Adelaide"
"8318",21,"Adelaide"
"8319",22,"Adelaide"
"8320",12,"Adelaide"
"8321",16.9,"Adelaide"
"8322",19,"Adelaide"
"8323",15,"Adelaide"
"8324",25.1,"Adelaide"
"8325",15,"Adelaide"
"8326",16.9,"Adelaide"
"8327",19,"Adelaide"
"8328",16.9,"Adelaide"
"8329",15,"Adelaide"
"8330",14,"Adelaide"
"8331",16.9,"Adelaide"
"8332",18.1,"Adelaide"
"8333",16.9,"Adelaide"
"8334",19,"Adelaide"
"8335",16.9,"Adelaide"
"8336",19,"Adelaide"
"8337",12,"Adelaide"
"8338",15,"Adelaide"
"8339",15.9,"Adelaide"
"8340",16.9,"Adelaide"
"8341",12,"Adelaide"
"8342",21,"Adelaide"
"8343",16.9,"Adelaide"
"8344",16.9,"Adelaide"
"8345",19,"Adelaide"
"8346",15.9,"Adelaide"
"8347",15,"Adelaide"
"8348",13,"Adelaide"
"8349",16.9,"Adelaide"
"8350",19,"Adelaide"
"8351",21,"Adelaide"
"8352",27,"Adelaide"
"8353",22.9,"Adelaide"
"8354",19,"Adelaide"
"8355",12,"Adelaide"
"8356",14,"Adelaide"
"8357",16.9,"Adelaide"
"8358",19,"Adelaide"
"8359",21,"Adelaide"
"8360",15,"Adelaide"
"8361",16.9,"Adelaide"
"8362",13,"Adelaide"
"8363",19,"Adelaide"
"8364",16.9,"Adelaide"
"8365",13,"Adelaide"
"8366",18.1,"Adelaide"
"8367",22,"Adelaide"
"8368",19,"Adelaide"
"8369",22,"Adelaide"
"8370",22,"Adelaide"
"8371",20,"Adelaide"
"8372",19,"Adelaide"
"8373",20,"Adelaide"
"8374",15.9,"Adelaide"
"8375",15,"Adelaide"
"8376",15,"Adelaide"
"8377",19,"Adelaide"
"8378",18.1,"Adelaide"
"8379",20,"Adelaide"
"8380",16.9,"Adelaide"
"8381",18.1,"Adelaide"
"8382",15.9,"Adelaide"
"8383",16.9,"Adelaide"
"8384",19,"Adelaide"
"8385",12,"Adelaide"
"8386",15,"Adelaide"
"8387",15.9,"Adelaide"
"8388",16.9,"Adelaide"
"8389",25.1,"Adelaide"
"8390",20,"Adelaide"
"8391",16.9,"Adelaide"
"8392",21,"Adelaide"
"8393",22,"Adelaide"
"8394",21,"Adelaide"
"8395",22,"Adelaide"
"8396",18.1,"Adelaide"
"8397",23.9,"Adelaide"
"8398",27,"Adelaide"
"8399",15,"Adelaide"
"8400",20,"Adelaide"
"8401",16.9,"Adelaide"
"8402",20,"Adelaide"
"8403",19,"Adelaide"
"8404",16.9,"Adelaide"
"8405",22,"Adelaide"
"8406",18.1,"Adelaide"
"8407",20,"Adelaide"
"8408",14,"Adelaide"
"8409",22,"Adelaide"
"8410",15,"Adelaide"
"8411",15,"Adelaide"
"8412",15,"Adelaide"
"8413",15.9,"Adelaide"
"8414",15.9,"Adelaide"
"8415",19,"Adelaide"
"8416",16.9,"Adelaide"
"8417",14,"Adelaide"
"8418",19,"Adelaide"
"8419",27,"Adelaide"
"8420",23.9,"Adelaide"
"8421",15,"Adelaide"
"8422",20,"Adelaide"
"8423",18.1,"Adelaide"
"8424",15,"Adelaide"
"8425",23.9,"Adelaide"
"8426",20,"Adelaide"
"8427",15.9,"Adelaide"
"8428",13,"Adelaide"
"8429",15.9,"Adelaide"
"8430",15,"Adelaide"
"8431",15,"Adelaide"
"8432",16.9,"Adelaide"
"8433",16.9,"Adelaide"
"8434",14,"Adelaide"
"8435",22,"Adelaide"
"8436",16.9,"Adelaide"
"8437",18.1,"Adelaide"
"8438",15.9,"Adelaide"
"8439",16.9,"Adelaide"
"8440",18.1,"Adelaide"
"8441",20,"Adelaide"
"8442",16.9,"Adelaide"
"8443",16.9,"Adelaide"
"8444",19,"Adelaide"
"8445",13,"Adelaide"
"8446",15.9,"Adelaide"
"8447",21,"Adelaide"
"8448",19,"Adelaide"
"8449",14,"Adelaide"
"8450",15,"Adelaide"
"8451",21,"Adelaide"
"8452",15.9,"Adelaide"
"8453",25.1,"Adelaide"
"8454",19,"Adelaide"
"8455",16.9,"Adelaide"
"8456",16.9,"Adelaide"
"8457",15,"Adelaide"
"8458",13,"Adelaide"
"8459",16.9,"Adelaide"
"8460",20,"Adelaide"
"8461",16.9,"Adelaide"
"8462",19,"Adelaide"
"8463",16.9,"Adelaide"
"8464",15,"Adelaide"
"8465",19,"Adelaide"
"8466",16.9,"Adelaide"
"8467",14,"Adelaide"
"8468",16.9,"Adelaide"
"8469",16.9,"Adelaide"
"8470",18.1,"Adelaide"
"8471",18.1,"Adelaide"
"8472",15.9,"Adelaide"
"8473",15.9,"Adelaide"
"8474",19,"Adelaide"
"8475",15.9,"Adelaide"
"8476",13,"Adelaide"
"8477",15.9,"Adelaide"
"8478",13,"Adelaide"
"8479",14,"Adelaide"
"8480",16.9,"Adelaide"
"8481",22,"Adelaide"
"8482",19,"Adelaide"
"8483",15,"Adelaide"
"8484",16.9,"Adelaide"
"8485",28,"Adelaide"
"8486",19,"Adelaide"
"8487",26,"Adelaide"
"8488",18.1,"Adelaide"
"8489",15.9,"Adelaide"
"8490",9.9,"Adelaide"
"8491",15.9,"Adelaide"
"8492",15.9,"Adelaide"
"8493",16.9,"Adelaide"
"8494",15,"Adelaide"
"8495",16.9,"Adelaide"
"8496",11.1,"Adelaide"
"8497",15,"Adelaide"
"8498",15.9,"Adelaide"
"8499",13,"Adelaide"
"8500",9.9,"Adelaide"
"8501",11.1,"Adelaide"
"8502",14,"Adelaide"
"8503",13,"Adelaide"
"8504",15.9,"Adelaide"
"8505",14,"Adelaide"
"8506",21,"Adelaide"
"8507",8.9,"Adelaide"
"8508",8,"Adelaide"
"8509",13,"Adelaide"
"8510",16.9,"Adelaide"
"8511",15,"Adelaide"
"8512",13,"Adelaide"
"8513",14,"Adelaide"
"8514",14,"Adelaide"
"8515",15.9,"Adelaide"
"8516",16.9,"Adelaide"
"8517",23.9,"Adelaide"
"8518",21,"Adelaide"
"8519",16.9,"Adelaide"
"8520",22.9,"Adelaide"
"8521",22,"Adelaide"
"8522",26,"Adelaide"
"8523",19,"Adelaide"
"8524",14,"Adelaide"
"8525",15.9,"Adelaide"
"8526",15,"Adelaide"
"8527",13,"Adelaide"
"8528",12,"Adelaide"
"8529",13,"Adelaide"
"8530",9.9,"Adelaide"
"8531",8.9,"Adelaide"
"8532",12,"Adelaide"
"8533",15,"Adelaide"
"8534",14,"Adelaide"
"8535",15,"Adelaide"
"8536",12,"Adelaide"
"8537",22,"Adelaide"
"8538",21,"Adelaide"
"8539",22.9,"Adelaide"
"8540",26,"Adelaide"
"8541",19,"Adelaide"
"8542",18.1,"Adelaide"
"8543",19,"Adelaide"
"8544",16.9,"Adelaide"
"8545",12,"Adelaide"
"8546",14,"Adelaide"
"8547",26,"Adelaide"
"8548",35,"Adelaide"
"8549",20,"Adelaide"
"8550",19,"Adelaide"
"8551",15.9,"Adelaide"
"8552",13,"Adelaide"
"8553",15,"Adelaide"
"8554",15.9,"Adelaide"
"8555",12,"Adelaide"
"8556",15,"Adelaide"
"8557",13,"Adelaide"
"8558",11.1,"Adelaide"
"8559",8.9,"Adelaide"
"8560",8.9,"Adelaide"
"8561",13,"Adelaide"
"8562",12,"Adelaide"
"8563",13,"Adelaide"
"8564",8.9,"Adelaide"
"8565",8.9,"Adelaide"
"8566",7,"Adelaide"
"8567",15,"Adelaide"
"8568",13,"Adelaide"
"8569",14,"Adelaide"
"8570",14,"Adelaide"
"8571",15,"Adelaide"
"8572",11.1,"Adelaide"
"8573",12,"Adelaide"
"8574",15,"Adelaide"
"8575",15,"Adelaide"
"8576",13,"Adelaide"
"8577",16.9,"Adelaide"
"8578",13,"Adelaide"
"8579",15.9,"Adelaide"
"8580",11.1,"Adelaide"
"8581",14,"Adelaide"
"8582",20,"Adelaide"
"8583",29.9,"Adelaide"
"8584",30.9,"Adelaide"
"8585",22,"Adelaide"
"8586",23.9,"Adelaide"
"8587",20,"Adelaide"
"8588",13,"Adelaide"
"8589",12,"Adelaide"
"8590",9.9,"Adelaide"
"8591",11.1,"Adelaide"
"8592",9.9,"Adelaide"
"8593",13,"Adelaide"
"8594",8.9,"Adelaide"
"8595",8.9,"Adelaide"
"8596",23.9,"Adelaide"
"8597",22.9,"Adelaide"
"8598",8.9,"Adelaide"
"8599",8,"Adelaide"
"8600",11.1,"Adelaide"
"8601",12,"Adelaide"
"8602",14,"Adelaide"
"8603",16.9,"Adelaide"
"8604",15,"Adelaide"
"8605",19,"Adelaide"
"8606",16.9,"Adelaide"
"8607",15,"Adelaide"
"8608",16.9,"Adelaide"
"8609",15,"Adelaide"
"8610",16.9,"Adelaide"
"8611",25.1,"Adelaide"
"8612",19,"Adelaide"
"8613",15,"Adelaide"
"8614",16.9,"Adelaide"
"8615",15.9,"Adelaide"
"8616",9.9,"Adelaide"
"8617",15.9,"Adelaide"
"8618",25.1,"Adelaide"
"8619",19,"Adelaide"
"8620",19,"Adelaide"
"8621",22,"Adelaide"
"8622",21,"Adelaide"
"8623",14,"Adelaide"
"8624",13,"Adelaide"
"8625",18.1,"Adelaide"
"8626",18.1,"Adelaide"
"8627",22.9,"Adelaide"
"8628",15,"Adelaide"
"8629",9.9,"Adelaide"
"8630",13,"Adelaide"
"8631",9.9,"Adelaide"
"8632",13,"Adelaide"
"8633",13,"Adelaide"
"8634",11.1,"Adelaide"
"8635",12,"Adelaide"
"8636",11.1,"Adelaide"
"8637",15.9,"Adelaide"
"8638",27,"Adelaide"
"8639",11.1,"Adelaide"
"8640",13,"Adelaide"
"8641",27,"Adelaide"
"8642",16.9,"Adelaide"
"8643",13,"Adelaide"
"8644",15,"Adelaide"
"8645",16.9,"Adelaide"
"8646",12,"Adelaide"
"8647",15.9,"Adelaide"
"8648",16.9,"Adelaide"
"8649",14,"Adelaide"
"8650",19,"Adelaide"
"8651",22,"Adelaide"
"8652",22.9,"Adelaide"
"8653",16.9,"Adelaide"
"8654",16.9,"Adelaide"
"8655",23.9,"Adelaide"
"8656",16.9,"Adelaide"
"8657",19,"Adelaide"
"8658",28.9,"Adelaide"
"8659",11.1,"Adelaide"
"8660",19,"Adelaide"
"8661",23.9,"Adelaide"
"8662",8.9,"Adelaide"
"8663",13,"Adelaide"
"8664",20,"Adelaide"
"8665",16.9,"Adelaide"
"8666",15,"Adelaide"
"8667",21,"Adelaide"
"8668",20,"Adelaide"
"8669",26,"Adelaide"
"8670",30.9,"Adelaide"
"8671",15.9,"Adelaide"
"8672",15.9,"Adelaide"
"8673",15,"Adelaide"
"8674",25.1,"Adelaide"
"8675",22.9,"Adelaide"
"8676",13,"Adelaide"
"8677",16.9,"Adelaide"
"8678",16.9,"Adelaide"
"8679",16.9,"Adelaide"
"8680",16.9,"Adelaide"
"8681",21,"Adelaide"
"8682",20,"Adelaide"
"8683",22.9,"Adelaide"
"8684",21,"Adelaide"
"8685",12,"Adelaide"
"8686",12,"Adelaide"
"8687",21,"Adelaide"
"8688",19,"Adelaide"
"8689",22,"Adelaide"
"8690",21,"Adelaide"
"8691",18.1,"Adelaide"
"8692",15.9,"Adelaide"
"8693",22,"Adelaide"
"8694",14,"Adelaide"
"8695",19,"Adelaide"
"8696",16.9,"Adelaide"
"8697",19,"Adelaide"
"8698",15.9,"Adelaide"
"8699",34,"Adelaide"
"8700",33,"Adelaide"
"8701",22,"Adelaide"
"8702",13,"Adelaide"
"8703",16.9,"Adelaide"
"8704",9.9,"Adelaide"
"8705",14,"Adelaide"
"8706",19,"Adelaide"
"8707",18.1,"Adelaide"
"8708",15.9,"Adelaide"
"8709",18.1,"Adelaide"
"8710",15.9,"Adelaide"
"8711",15,"Adelaide"
"8712",13,"Adelaide"
"8713",12,"Adelaide"
"8714",19,"Adelaide"
"8715",15,"Adelaide"
"8716",9.9,"Adelaide"
"8717",18.1,"Adelaide"
"8718",13,"Adelaide"
"8719",12,"Adelaide"
"8720",15,"Adelaide"
"8721",12,"Adelaide"
"8722",28.9,"Adelaide"
"8723",21,"Adelaide"
"8724",20,"Adelaide"
"8725",22,"Adelaide"
"8726",20,"Adelaide"
"8727",16.9,"Adelaide"
"8728",15.9,"Adelaide"
"8729",13,"Adelaide"
"8730",15,"Adelaide"
"8731",15.9,"Adelaide"
"8732",18.1,"Adelaide"
"8733",19,"Adelaide"
"8734",19,"Adelaide"
"8735",15.9,"Adelaide"
"8736",19,"Adelaide"
"8737",15,"Adelaide"
"8738",19,"Adelaide"
"8739",29.9,"Adelaide"
"8740",15.9,"Adelaide"
"8741",19,"Adelaide"
"8742",21,"Adelaide"
"8743",16.9,"Adelaide"
"8744",21,"Adelaide"
"8745",15.9,"Adelaide"
"8746",15.9,"Adelaide"
"8747",16.9,"Adelaide"
"8748",15.9,"Adelaide"
"8749",16.9,"Adelaide"
"8750",20,"Adelaide"
"8751",19,"Adelaide"
"8752",19,"Adelaide"
"8753",15,"Adelaide"
"8754",34,"Adelaide"
"8755",22,"Adelaide"
"8756",15,"Adelaide"
"8757",16.9,"Adelaide"
"8758",13,"Adelaide"
"8759",13,"Adelaide"
"8760",14,"Adelaide"
"8761",15.9,"Adelaide"
"8762",16.9,"Adelaide"
"8763",12,"Adelaide"
"8764",13,"Adelaide"
"8765",16.9,"Adelaide"
"8766",22,"Adelaide"
"8767",16.9,"Adelaide"
"8768",16.9,"Adelaide"
"8769",16.9,"Adelaide"
"8770",22.9,"Adelaide"
"8771",23.9,"Adelaide"
"8772",16.9,"Adelaide"
"8773",15,"Adelaide"
"8774",20,"Adelaide"
"8775",22,"Adelaide"
"8776",15.9,"Adelaide"
"8777",21,"Adelaide"
"8778",18.1,"Adelaide"
"8779",23.9,"Adelaide"
"8780",20,"Adelaide"
"8781",16.9,"Adelaide"
"8782",15.9,"Adelaide"
"8783",19,"Adelaide"
"8784",20,"Adelaide"
"8785",20,"Adelaide"
"8786",19,"Adelaide"
"8787",15,"Adelaide"
"8788",15,"Adelaide"
"8789",13,"Adelaide"
"8790",14,"Adelaide"
"8791",15.9,"Adelaide"
"8792",15.9,"Adelaide"
"8793",15.9,"Adelaide"
"8794",15.9,"Adelaide"
"8795",18.1,"Adelaide"
"8796",16.9,"Adelaide"
"8797",15.9,"Adelaide"
"8798",12,"Adelaide"
"8799",15.9,"Adelaide"
"8800",18.1,"Adelaide"
"8801",18.1,"Adelaide"
"8802",15.9,"Adelaide"
"8803",15.9,"Adelaide"
"8804",19,"Adelaide"
"8805",16.9,"Adelaide"
"8806",15.9,"Adelaide"
"8807",21,"Adelaide"
"8808",20,"Adelaide"
"8809",16.9,"Adelaide"
"8810",21,"Adelaide"
"8811",18.1,"Adelaide"
"8812",15,"Adelaide"
"8813",15,"Adelaide"
"8814",19,"Adelaide"
"8815",19,"Adelaide"
"8816",15.9,"Adelaide"
"8817",25.1,"Adelaide"
"8818",15.9,"Adelaide"
"8819",19,"Adelaide"
"8820",18.1,"Adelaide"
"8821",16.9,"Adelaide"
"8822",22.9,"Adelaide"
"8823",18.1,"Adelaide"
"8824",15.9,"Adelaide"
"8825",15,"Adelaide"
"8826",13,"Adelaide"
"8827",18.1,"Adelaide"
"8828",16.9,"Adelaide"
"8829",12,"Adelaide"
"8830",11.1,"Adelaide"
"8831",11.1,"Adelaide"
"8832",13,"Adelaide"
"8833",13,"Adelaide"
"8834",14,"Adelaide"
"8835",15,"Adelaide"
"8836",15.9,"Adelaide"
"8837",21,"Adelaide"
"8838",20,"Adelaide"
"8839",14,"Adelaide"
"8840",14,"Adelaide"
"8841",18.1,"Adelaide"
"8842",19,"Adelaide"
"8843",16.9,"Adelaide"
"8844",16.9,"Adelaide"
"8845",16.9,"Adelaide"
"8846",15,"Adelaide"
"8847",13,"Adelaide"
"8848",21,"Adelaide"
"8849",27,"Adelaide"
"8850",22,"Adelaide"
"8851",15.9,"Adelaide"
"8852",11.1,"Adelaide"
"8853",18.1,"Adelaide"
"8854",21,"Adelaide"
"8855",15,"Adelaide"
"8856",34,"Adelaide"
"8857",33,"Adelaide"
"8858",18.1,"Adelaide"
"8859",9.9,"Adelaide"
"8860",12,"Adelaide"
"8861",13,"Adelaide"
"8862",13,"Adelaide"
"8863",16.9,"Adelaide"
"8864",18.1,"Adelaide"
"8865",11.1,"Adelaide"
"8866",19,"Adelaide"
"8867",13,"Adelaide"
"8868",14,"Adelaide"
"8869",16.9,"Adelaide"
"8870",15,"Adelaide"
"8871",15.9,"Adelaide"
"8872",14,"Adelaide"
"8873",12,"Adelaide"
"8874",15,"Adelaide"
"8875",14,"Adelaide"
"8876",15,"Adelaide"
"8877",12,"Adelaide"
"8878",11.1,"Adelaide"
"8879",9.9,"Adelaide"
"8880",20,"Adelaide"
"8881",24.1,"Adelaide"
"8882",22,"Adelaide"
"8883",14,"Adelaide"
"8884",13,"Adelaide"
"8885",16.9,"Adelaide"
"8886",14,"Adelaide"
"8887",13,"Adelaide"
"8888",11.1,"Adelaide"
"8889",15,"Adelaide"
"8890",12,"Adelaide"
"8891",15.9,"Adelaide"
"8892",11.1,"Adelaide"
"8893",8.9,"Adelaide"
"8894",8.9,"Adelaide"
"8895",8.9,"Adelaide"
"8896",8,"Adelaide"
"8897",8,"Adelaide"
"8898",8.9,"Adelaide"
"8899",13,"Adelaide"
"8900",18.1,"Adelaide"
"8901",34,"Adelaide"
"8902",22,"Adelaide"
"8903",18.1,"Adelaide"
"8904",15.9,"Adelaide"
"8905",11.1,"Adelaide"
"8906",8.9,"Adelaide"
"8907",8,"Adelaide"
"8908",9.9,"Adelaide"
"8909",15.9,"Adelaide"
"8910",9.9,"Adelaide"
"8911",15,"Adelaide"
"8912",8.9,"Adelaide"
"8913",8,"Adelaide"
"8914",11.1,"Adelaide"
"8915",8,"Adelaide"
"8916",7,"Adelaide"
"8917",9.9,"Adelaide"
"8918",11.1,"Adelaide"
"8919",9.9,"Adelaide"
"8920",14,"Adelaide"
"8921",15,"Adelaide"
"8922",15,"Adelaide"
"8923",13,"Adelaide"
"8924",9.9,"Adelaide"
"8925",13,"Adelaide"
"8926",22.9,"Adelaide"
"8927",15.9,"Adelaide"
"8928",27,"Adelaide"
"8929",15.9,"Adelaide"
"8930",8.9,"Adelaide"
"8931",11.1,"Adelaide"
"8932",14,"Adelaide"
"8933",18.1,"Adelaide"
"8934",9.9,"Adelaide"
"8935",13,"Adelaide"
"8936",20,"Adelaide"
"8937",15,"Adelaide"
"8938",12,"Adelaide"
"8939",11.1,"Adelaide"
"8940",15,"Adelaide"
"8941",22,"Adelaide"
"8942",14,"Adelaide"
"8943",13,"Adelaide"
"8944",16.9,"Adelaide"
"8945",30.9,"Adelaide"
"8946",22.9,"Adelaide"
"8947",16.9,"Adelaide"
"8948",15.9,"Adelaide"
"8949",8,"Adelaide"
"8950",15.9,"Adelaide"
"8951",14,"Adelaide"
"8952",22,"Adelaide"
"8953",23.9,"Adelaide"
"8954",19,"Adelaide"
"8955",22,"Adelaide"
"8956",23.9,"Adelaide"
"8957",19,"Adelaide"
"8958",21,"Adelaide"
"8959",22,"Adelaide"
"8960",16.9,"Adelaide"
"8961",18.1,"Adelaide"
"8962",15.9,"Adelaide"
"8963",20,"Adelaide"
"8964",15,"Adelaide"
"8965",25.1,"Adelaide"
"8966",19,"Adelaide"
"8967",20,"Adelaide"
"8968",8.9,"Adelaide"
"8969",9.9,"Adelaide"
"8970",11.1,"Adelaide"
