"","Paper1","paper2"
"several",0,6
"sex",0,3
"shame",1,0
"shape",3,1
"shaping",0,1
"she",1,0
"shells",0,12
"shift",0,16
"shift¡±",0,1
"shifted",0,1
"shifting",0,1
"shirt",0,19
"shirts",0,68
"shirts¡¯",0,1
"shoppers",0,1
"shopping",1,4
"short",2,0
"show",0,1
"shown",12,27
"sift",0,1
"sigir",1,0
"signal",5,0
"significance",2,0
"significant",1,17
"significantly",0,1
"similar",3,4
"similarities",0,10
"similarity",0,1
"similaritybased",1,0
"simple",1,3
"simplecomplex",1,0
"simply",1,1
"simulate",0,4
"simulated",0,9
"simulating",0,1
"simulation",0,2
"singh",1,1
"single",7,3
"situated",0,1
"six",1,0
"size",0,2
"sketches",2,0
"skills",0,1
"sliml¡±",0,1
"slimlook",0,1
"sloboda",1,0
"small",2,1
"smartphone",0,1
"smell",0,1
"smells",2,0
"social",1,0
"society",3,7
"software",0,3
"solid",5,51
"solidcolouremotion",0,2
"solina",1,0
"solli",1,0
"solve",1,0
"somatosensory",0,1
"some",0,1
"sometimes",1,5
"somewhat",0,2
"song",2,0
"sophisticated",0,1
"sound",32,1
"soundandlight",4,0
"sounds",6,0
"source",0,2
"space",15,28
"spaces",0,1
"specific",4,2
"specifically",2,0
"specified",1,2
"specifies",0,1
"speech",2,0
"spent",1,0
"splendid¡±",0,1
"sports",0,1
"springer",3,0
"square",0,1
"stacked",1,9
"stage",0,3
"stages",0,1
"stainless",0,2
"stand",0,1
"standard",1,0
"state",1,0
"stateoftheart",1,2
"statistical",1,2
"steel",0,2
"step",0,2
"steps",1,6
"still",0,6
"stimulate",0,1
"stimulated",0,2
"stimulation",1,1
"stimuli",0,4
"stock",0,2
"story",0,1
"strauss",0,1
"strengths",1,0
"strong",0,4
"strongest",0,1
"structural",0,1
"structure",3,6
"structures",2,0
"studies",8,12
"study",6,15
"studying",1,0
"styles",1,1
"subjects",1,1
"subsequent",0,1
"successful",1,0
"successfully",2,1
"successively",0,2
"sufficient",1,0
"suggested",0,1
"suggesting",0,1
"suggests",1,1
"suitable",0,1
"sulcus",0,1
"sum",0,1
"summarized",0,1
"sun",1,0
"superior",0,1
"supervised",1,0
"supervision",0,1
"support",1,1
"supported",0,1
"surface",0,3
"surprise",2,0
"sutskever",2,1
"svg",0,1
"svm",1,0
"sweater",0,2
"swedish",1,2
"sweet¡±",0,3
"symmetric",0,2
"synchronized",2,0
"synesthesia",6,0
"synesthete",2,0
"synesthetes",2,0
"system",2,3
"systems",5,4
"szabo",0,1
"szegedy",1,1
"table",0,6
"tablet",0,1
"tactile",0,3
"tagging",3,0
"taiwanese",0,1
"take",1,5
"taken",1,3
"taking",0,3
"taobao",0,3
"target",0,1
"task",1,0
"tasks",1,1
"taste",2,0
"tastes",0,1
"technical",1,0
"technique",2,0
"techniques",1,1
"technological",0,3
"technology",1,5
"tempo",1,0
"temporal",0,1
"ten",2,1
"tended",0,1
"tenstep",0,1
"term",1,2
"terms",5,11
"test",0,4
"textile",0,4
"texture",8,10
"textures",3,5
"tfidf",1,0
"the",44,86
"theme",1,0
"then",0,3
"theoretical",0,1
"theory",3,2
"there",0,7
"thereby",0,1
"therefore",1,6
"these",1,0
"they",0,1
"third",0,2
"thirdly",1,8
"this",2,8
"though",0,1
"three",5,6
"threedimensional",0,2
"through",0,1
"thumfart",2,2
"timbre",4,0
"tinio",0,1
"tist",1,0
"together",0,1
"tonal",1,0
"tones",1,0
"tong",1,0
"tools",1,0
"top",1,0
"topdown",0,5
"topology",0,2
"total",0,1
"touching",2,0
"toward",1,3
"towards",4,6
"traditional",0,2
"traditionalfashionable",0,5
"traditionally",1,0
"train",0,1
"training",4,0
"transactions",3,3
"transformation",12,0
"trends",1,0
"triggered",2,0
"triggers",0,1
"trust",2,0
"try",5,0
"trying",2,0
"tshirt",0,3
"ttest",0,2
"tutorial",1,0
"two",6,13
"twocolor",1,29
"twocolour",1,1
"twocombinations",0,1
"twodimensional",1,1
"two©colour",0,1
"type",0,3
"types",0,3
"typical",4,2
"typically",0,1
"ubiquitous",1,1
"unchanged",1,1
"unclear",0,1
"underlying",1,2
"understand",1,0
"underway",0,1
"unharmonious",0,1
"unharmoniousharmonious",1,0
"unified",1,0
"uniform",1,2
"uniformly",1,6
"unifying",1,2
"union",1,0
"uniqlo",0,1
"unique",0,1
"units",1,0
"universal",2,4
"universality",0,1
"university",3,1
"unlike",1,0
"unpleasant",1,0
"unrelated",0,1
"unstable",0,1
"untechnological",0,3
"upperbody",0,1
"upsamples",0,1
"upsampling",0,1
"urgesi",0,1
"use",4,14
"used",6,18
"useful",0,1
"user",1,1
"users",2,0
"uses",1,1
"using",5,19
"usually",0,5
"utilize",0,1
"utilized",0,3
"utilizing",0,1
"vacuum",0,12
"valence",6,0
"valencearousal",1,0
"validate",0,3
"values",12,22
"variance",0,4
"variety",3,0
"various",0,15
"vary",0,1
"vast",0,1
"vector",1,4
"vectors",0,1
"ventromedian",0,1
"vertical",2,2
"vgg",0,1
"via",1,0
"video",19,1
"view",0,1
"viewed",1,0
"viewer",1,0
"viewpoint",0,2
"viii",1,1
"virtual",0,6
"visible",3,4
"vision",7,9
"visual",28,20
"visualisation",1,0
"visualization",11,7
"visualizing",1,0
"visually",1,1
"vmpfc",0,1
"vocalization",16,0
"vstfjll",1,0
"waking",1,0
"walls",0,14
"wang",1,0
"warmcold",2,0
"warmcool",0,2
"wavelengths",0,1
"way",1,1
"wcccosho",0,1
"wearers",0,1
"web",0,3
"weighted",0,1
"weights",1,0
"well",0,3
"welldefined",0,1
"westland",0,2
"what",2,2
"wheel",1,1
"where",0,2
"whether",3,2
"which",0,1
"while",1,0
"white",0,5
"whitepoint",1,1
"whole",0,2
"whose",2,5
"wide",4,0
"widespread",2,0
"wild",1,1
"will",6,8
"window",0,1
"with",4,1
"within",4,7
"without",0,1
"women",0,4
"womens",0,4
"won",0,2
"word",0,1
"work",2,0
"works",1,0
"workshop",1,0
"world",0,2
"xhkxi",0,1
"xin",4,3
"xing",0,1
"xi¦Ø",0,1
"yamaguchi",2,2
"yang",4,1
"years",1,1
"yet",1,0
"yildirim",0,1
"you",1,0
"young",0,3
"zara",0,1
"zeng",2,2
"zhang",1,0
"zhao",1,0
"zhu",1,0
"¦Äcn",0,1
"¦Äln",0,1
