date,min.temperaturec,max.temperaturec,mean.temperaturec
2014/5/23,12,21,17
2014/5/24,13,19,16
2014/5/25,12,22,17
2014/5/26,13,22,18
2014/5/27,12,20,16
2014/5/28,12,22,17
2014/5/29,12,26,19
2014/5/30,11,18,15
2014/5/31,11,20,16
2014/6/1,11,22,17
2014/6/2,11,19,16
2014/6/3,12,19,16
2014/6/4,12,20,16
2014/6/5,12,22,17
2014/6/6,12,22,17
2014/6/7,12,21,17
2014/6/8,13,31,22
2014/6/9,14,25,20
2014/6/10,14,23,19
2014/6/11,14,23,18
2014/6/12,13,19,17
2014/6/13,12,23,18
2014/6/14,13,29,21
2014/6/15,13,21,17
2014/6/16,13,18,16
2014/6/17,12,24,18
2014/6/18,13,30,22
2014/6/19,13,22,18
2014/6/20,13,24,19
2014/6/21,13,19,16
2014/6/22,13,20,17
2014/6/23,13,22,18
2014/6/24,14,21,17
2014/6/25,14,21,18
2014/6/26,14,23,18
2014/6/27,15,24,19
2014/6/28,14,23,19
2014/6/29,14,27,21
2014/6/30,15,28,22
2014/7/1,14,24,19
2014/7/2,14,24,19
2014/7/3,14,23,18
2014/7/4,13,20,17
2014/7/5,12,22,17
2014/7/6,12,21,16
2014/7/7,12,22,17
2014/7/8,13,24,19
2014/7/9,15,24,19
2014/7/10,16,23,20
2014/7/11,16,22,19
2014/7/12,12,21,17
2014/7/13,12,20,16
2014/7/14,14,24,19
2014/7/15,15,27,21
2014/7/16,17,26,21
2014/7/17,17,23,21
2014/7/18,17,23,20
2014/7/19,16,23,20
2014/7/20,14,26,20
2014/7/21,18,24,22
2014/7/22,18,25,22
2014/7/23,18,24,21
2014/7/24,16,28,22
2014/7/25,17,32,24
2014/7/26,16,25,21
2014/7/27,16,25,21
2014/7/28,16,23,19
2014/7/29,16,23,19
2014/7/30,14,22,18
2014/7/31,14,22,18
2014/8/1,15,22,19
2014/8/2,15,21,18
2014/8/3,16,21,18
2014/8/4,16,24,20
2014/8/5,17,23,20
2014/8/6,16,25,21
2014/8/7,16,21,18
2014/8/8,16,23,19
2014/8/9,15,21,18
2014/8/10,16,25,21
2014/8/11,16,26,21
2014/8/12,17,25,21
2014/8/13,16,25,21
2014/8/14,16,23,19
2014/8/15,16,23,19
2014/8/16,15,23,19
2014/8/17,14,22,18
2014/8/18,16,21,18
2014/8/19,16,24,20
2014/8/20,17,23,20
2014/8/21,16,23,20
2014/8/22,15,25,20
2014/8/23,14,24,19
2014/8/24,14,24,19
2014/8/25,16,23,20
2014/8/26,15,23,19
2014/8/27,16,23,19
2014/8/28,15,23,19
2014/8/29,16,22,19
2014/8/30,17,27,22
2014/8/31,17,24,21
2014/9/1,16,28,22
2014/9/2,16,23,19
2014/9/3,16,24,20
2014/9/4,16,24,20
2014/9/5,16,24,20
2014/9/6,15,22,19
2014/9/7,14,22,18
2014/9/8,14,20,17
2014/9/9,15,22,18
2014/9/10,13,28,21
2014/9/11,15,26,21
2014/9/12,14,24,19
2014/9/13,16,24,20
2014/9/14,15,23,19
2014/9/15,17,26,21
2014/9/16,17,27,22
2014/9/17,17,28,22
2014/9/18,18,27,22
2014/9/19,17,23,21
2014/9/20,18,25,22
2014/9/21,18,22,21
2014/9/22,18,26,22
2014/9/23,18,25,22
2014/9/24,18,27,22
2014/9/25,16,23,20
2014/9/26,17,23,20
2014/9/27,17,23,20
2014/9/28,16,24,21
2014/9/29,16,22,19
2014/9/30,17,24,21
2014/10/1,16,30,23
2014/10/2,16,33,24
2014/10/3,19,35,27
2014/10/4,18,33,26
2014/10/5,16,31,23
2014/10/6,14,28,22
2014/10/7,15,23,19
2014/10/8,14,26,20
2014/10/9,15,20,18
2014/10/10,15,21,18
2014/10/11,15,24,20
2014/10/12,15,33,24
2014/10/13,17,31,24
2014/10/14,17,23,21
2014/10/15,17,24,21
2014/10/16,14,23,19
2014/10/17,14,25,19
2014/10/18,18,26,22
2014/10/19,16,23,20
2014/10/20,17,22,19
2014/10/21,13,22,18
2014/10/22,14,23,19
2014/10/23,17,23,21
2014/10/24,16,23,19
2014/10/25,17,23,20
2014/10/26,14,21,18
2014/10/27,13,21,17
2014/10/28,13,22,17
2014/10/29,16,27,22
2014/10/30,16,23,19
2014/10/31,14,18,16
2014/11/1,13,18,16
2014/11/2,9,19,14
2014/11/3,10,21,16
2014/11/4,10,22,16
2014/11/5,12,24,18
2014/11/6,13,23,18
2014/11/7,12,21,17
2014/11/8,12,24,18
2014/11/9,12,21,16
2014/11/10,12,20,16
2014/11/11,12,19,16
2014/11/12,14,19,17
2014/11/13,13,19,17
2014/11/14,13,19,16
2014/11/15,12,19,16
2014/11/16,13,17,16
2014/11/17,10,19,14
2014/11/18,11,18,14
2014/11/19,13,18,16
2014/11/20,12,16,14
2014/11/21,12,16,14
2014/11/22,13,18,16
2014/11/23,9,19,14
2014/11/24,8,19,14
2014/11/25,9,18,14
2014/11/26,9,20,15
2014/11/27,10,18,14
2014/11/28,8,17,13
2014/11/29,14,18,16
2014/11/30,12,17,14
2014/12/1,14,18,16
2014/12/2,13,17,15
2014/12/3,15,19,17
2014/12/4,14,19,17
2014/12/5,14,19,17
2014/12/6,14,19,17
2014/12/7,12,18,15
2014/12/8,13,20,17
2014/12/9,14,17,16
2014/12/10,14,18,17
2014/12/11,11,19,15
2014/12/12,11,14,13
2014/12/13,9,13,11
2014/12/14,9,16,13
2014/12/15,11,17,14
2014/12/16,10,17,14
2014/12/17,10,16,13
2014/12/18,11,16,13
2014/12/19,13,15,14
2014/12/20,13,17,15
2014/12/21,14,17,16
2014/12/22,12,18,16
2014/12/23,11,20,16
2014/12/24,9,17,13
2014/12/25,8,14,11
2014/12/26,7,15,11
2014/12/27,6,13,9
2014/12/28,6,14,10
2014/12/29,7,13,10
2014/12/30,8,13,11
2014/12/31,5,14,10
